date,value
2025-01-01,96.09
2025-01-02,99.82
2025-01-03,103.18
2025-01-04,90.51
2025-01-05,112.52
2025-01-06,109.16
2025-01-07,104.86
2025-01-08,88.69
2025-01-09,102.79
2025-01-10,86.31
2025-01-11,89.66
2025-01-12,89.97
2025-01-13,105.59
2025-01-14,99.07
2025-01-15,116.53
2025-01-16,107.84
2025-01-17,114.5
2025-01-18,117.52
2025-01-19,110.68
2025-01-20,105.11
2025-01-21,107.47
2025-01-22,116.69
2025-01-23,114.87
2025-01-24,100.54
2025-01-25,103.99
2025-01-26,102.09
2025-01-27,108.06
2025-01-28,126.76
2025-01-29,112.12
2025-01-30,114.92
2025-02-01,110.89
2025-02-02,113.77
2025-02-03,105.49
2025-02-04,101.55
2025-02-05,116.04
2025-02-06,123.84
2025-02-07,104.07
2025-02-08,111.97
2025-02-09,103.97
2025-02-10,109.76
2025-02-11,106.99
2025-02-12,121.69
2025-02-13,118.56
2025-02-14,124.96
2025-02-15,126.34
2025-02-16,112.25
2025-02-17,139.92
2025-02-18,106.25
2025-02-19,114.23
2025-02-20,112.2
2025-02-21,104.48
2025-02-22,125.54
2025-02-23,130.56
2025-02-24,121.48
2025-02-25,119.43
2025-02-26,115.03
2025-02-27,126.69
2025-02-28,118.38
2025-02-29,109.63
2025-02-30,129.65
2025-03-01,105.62
2025-03-02,118.58
2025-03-03,122.17
2025-03-04,112.65
2025-03-05,110.45
2025-03-06,114.53
2025-03-07,114.22
2025-03-08,130.81
2025-03-09,122.46
2025-03-10,138.13
2025-03-11,127.8
2025-03-12,115.87
2025-03-13,128.3
2025-03-14,120.97
2025-03-15,141.91
2025-03-16,140.85
2025-03-17,118.11
2025-03-18,120.0
2025-03-19,126.42
2025-03-20,103.7
2025-03-21,119.97
2025-03-22,116.47
2025-03-23,133.36
2025-03-24,138.32
2025-03-25,116.46
2025-03-26,129.85
2025-03-27,145.51
2025-03-28,125.06
2025-03-29,137.86
2025-03-30,135.2
2025-04-01,115.7
2025-04-02,115.74
2025-04-03,112.87
2025-04-04,113.71
2025-04-05,111.44
2025-04-06,119.34
2025-04-07,121.49
2025-04-08,143.06
2025-04-09,134.24
2025-04-10,108.03
2025-04-11,129.16
2025-04-12,133.86
2025-04-13,108.63
2025-04-14,124.76
2025-04-15,133.09
2025-04-16,140.26
2025-04-17,124.74
2025-04-18,137.33
2025-04-19,132.65
2025-04-20,145.66
2025-04-21,136.56
2025-04-22,124.74
2025-04-23,129.76
2025-04-24,123.18
2025-04-25,151.65
2025-04-26,150.89
2025-04-27,122.01
2025-04-28,154.66
2025-04-29,126.18
2025-04-30,150.83
2025-05-01,118.93
2025-05-02,146.09
2025-05-03,146.15
2025-05-04,139.71
2025-05-05,160.39
2025-05-06,154.95
2025-05-07,133.38
2025-05-08,143.38
2025-05-09,163.91
2025-05-10,126.1
2025-05-11,140.68
2025-05-12,154.77
2025-05-13,149.56
2025-05-14,154.04
2025-05-15,146.62
2025-05-16,147.09
2025-05-17,149.94
2025-05-18,154.17
2025-05-19,132.68
2025-05-20,151.04
2025-05-21,148.32
2025-05-22,163.49
2025-05-23,152.87
2025-05-24,128.69
2025-05-25,134.67
2025-05-26,146.29
2025-05-27,132.92
2025-05-28,146.14
2025-05-29,149.4
2025-05-30,126.89
2025-06-01,139.37
2025-06-02,144.22
2025-06-03,153.89
2025-06-04,138.88
2025-06-05,146.79
2025-06-06,138.03
2025-06-07,136.73
2025-06-08,139.64
2025-06-09,153.66
2025-06-10,136.19
2025-06-11,149.54
2025-06-12,153.66
2025-06-13,160.9
2025-06-14,147.38
2025-06-15,151.94
2025-06-16,164.44
2025-06-17,144.75
2025-06-18,142.57
2025-06-19,145.29
2025-06-20,143.47
2025-06-21,145.49
2025-06-22,164.16
2025-06-23,154.91
2025-06-24,146.48
2025-06-25,151.0
2025-06-26,144.6
2025-06-27,164.66
2025-06-28,177.21
2025-06-29,145.54
2025-06-30,156.99
2025-07-01,166.8
2025-07-02,170.97
2025-07-03,159.31
2025-07-04,150.04
2025-07-05,160.23
2025-07-06,141.54
2025-07-07,173.24
2025-07-08,171.91
2025-07-09,142.62
2025-07-10,161.74
2025-07-11,164.45
2025-07-12,179.04
2025-07-13,173.79
2025-07-14,150.25
2025-07-15,147.54
2025-07-16,167.86
2025-07-17,147.14
2025-07-18,150.15
2025-07-19,150.21
2025-07-20,150.93
2025-07-21,172.29
2025-07-22,158.51
2025-07-23,161.88
2025-07-24,179.64
2025-07-25,171.5
2025-07-26,167.22
2025-07-27,160.85
2025-07-28,177.37
2025-07-29,171.85
2025-07-30,169.78
2025-08-01,160.72
2025-08-02,170.83
2025-08-03,157.64
2025-08-04,170.38
2025-08-05,177.64
2025-08-06,165.79
2025-08-07,157.86
2025-08-08,180.81
2025-08-09,169.71
2025-08-10,179.58
2025-08-11,173.28
2025-08-12,164.58
2025-08-13,159.04
2025-08-14,174.09
2025-08-15,167.92
2025-08-16,180.33
2025-08-17,151.07
2025-08-18,171.13
2025-08-19,174.49
2025-08-20,168.08
2025-08-21,183.42
2025-08-22,186.61
2025-08-23,157.45
2025-08-24,168.84
2025-08-25,161.49
2025-08-26,167.14
2025-08-27,178.9
2025-08-28,160.36
2025-08-29,173.64
2025-08-30,179.9
2025-09-01,160.74
2025-09-02,167.96
2025-09-03,182.37
2025-09-04,164.56
2025-09-05,179.78
2025-09-06,184.68
2025-09-07,152.12
2025-09-08,165.18
2025-09-09,189.18
2025-09-10,173.8
2025-09-11,163.92
2025-09-12,144.24
2025-09-13,174.33
2025-09-14,177.99
2025-09-15,182.75
2025-09-16,182.43
2025-09-17,169.47
2025-09-18,190.31
2025-09-19,156.05
2025-09-20,196.14
2025-09-21,194.4
2025-09-22,166.5
2025-09-23,168.41
2025-09-24,167.15
2025-09-25,185.39
2025-09-26,190.36
2025-09-27,184.83
2025-09-28,158.18
2025-09-29,180.87
2025-09-30,188.31
2025-10-01,184.42
2025-10-02,181.33
2025-10-03,173.86
2025-10-04,167.53
2025-10-05,180.28
2025-10-06,183.56
2025-10-07,197.79
2025-10-08,171.1
2025-10-09,182.55
2025-10-10,174.98
2025-10-11,205.68
2025-10-12,172.36
2025-10-13,177.05
2025-10-14,181.31
2025-10-15,174.95
2025-10-16,168.49
2025-10-17,197.4
2025-10-18,183.22
2025-10-19,182.32
2025-10-20,187.31
2025-10-21,173.62
2025-10-22,207.29
2025-10-23,180.93
2025-10-24,167.83
2025-10-25,191.55
2025-10-26,176.42
2025-10-27,199.58
2025-10-28,185.17
2025-10-29,190.32
2025-10-30,210.01
2025-11-01,194.89
2025-11-02,196.71
2025-11-03,172.41
2025-11-04,187.59
2025-11-05,186.41
2025-11-06,179.62
2025-11-07,199.1
2025-11-08,182.92
2025-11-09,189.45
2025-11-10,205.84
2025-11-11,187.33
2025-11-12,181.64
2025-11-13,206.81
2025-11-14,190.53
2025-11-15,196.88
2025-11-16,195.04
2025-11-17,197.46
2025-11-18,200.6
2025-11-19,191.97
2025-11-20,191.08
2025-11-21,184.4
2025-11-22,191.77
2025-11-23,207.57
2025-11-24,198.2
2025-11-25,185.25
2025-11-26,204.49
2025-11-27,199.24
2025-11-28,195.59
2025-11-29,195.47
2025-11-30,188.07
2025-12-01,190.21
2025-12-02,199.4
2025-12-03,193.08
2025-12-04,200.21
2025-12-05,198.52
2025-12-06,215.85
2025-12-07,203.14
2025-12-08,209.65
2025-12-09,201.82
2025-12-10,202.02
2025-12-11,209.54
2025-12-12,221.31
2025-12-13,188.58
2025-12-14,206.15
2025-12-15,207.92
2025-12-16,188.21
2025-12-17,212.45
2025-12-18,212.61
2025-12-19,218.18
2025-12-20,206.17
2025-12-21,217.59
2025-12-22,215.35
2025-12-23,212.36
2025-12-24,194.05
